# h0_tickfeat v2 (SIGNAL BAR j — Engineer BLOCKING-1 fix; v1 f1bdba72 โมฆะ) | ROLL_D=60 MIN_OBS=30 | Dukascopy M1 col6 | baseline ok-days past-only | reads day_facts date/status/traded/entry_time + h0_features asian_width ONLY (no P&L)
date,tick_sig,rel_tick_sig,rjR,asian_ticks,rel_tick_asian,tick_cov_asian,base_obs_sig
2012-05-21,,,,16547,1.28197,0.998,0
2012-05-22,,,,10775,0.834463,1,0
2012-05-23,49,1.10112,0.0577674,20377,1.57808,0.99,60
2012-05-24,40,0.987654,0.0772871,18722,1.4446,0.998,60
2012-05-25,,,,15438,1.1912,0.998,0
2012-05-28,69,2.12308,0.118462,17499,1.33022,1,60
2012-05-29,151,1.39815,0.112258,16473,1.25222,1,60
2012-05-30,283,2.33884,0.526694,16153,1.2072,1,60
2012-05-31,192,1.46008,0.409434,14522,1.07782,1,60
2012-06-01,105,1.41892,0.133464,20000,1.4844,0.993,60
2012-06-04,117,2.96203,0.0597738,24031,1.75422,1,60
2012-06-05,,,,15813,1.15432,1,0
2012-06-06,211,2.43931,0.539216,19716,1.41888,1,60
2012-06-07,110,1.375,0.113874,18352,1.31259,1,60
2012-06-08,,,,25627,1.79436,1,0
2012-06-11,153,1.75862,0.122671,23030,1.61252,0.998,60
2012-06-12,138,1.47594,0.184769,16481,1.15397,1,60
2012-06-13,71,1.30275,0.227723,3519,0.24208,0.286,60
2012-06-14,218,1.55714,0.648064,12701,0.873732,0.998,60
2012-06-15,211,2.43931,0.292962,13891,0.972623,1,60
2012-06-18,,,,20717,1.48174,0.998,0
2012-06-19,150,1.53846,0.309278,13145,0.940171,1,60
2012-06-20,154,1.71111,0.410088,12651,0.904839,0.998,60
2012-06-21,207,2.20213,0.129803,16941,1.21167,1,60
2012-06-22,102,1.92453,0.18775,15575,1.09053,1,60
2012-06-25,120,1.55844,0.141138,13526,0.947066,1,60
2012-06-26,,,,11751,0.840468,1,0
2012-06-27,53,1.47222,0.110345,12137,0.872789,1,60
2012-06-28,154,1.41284,0.348066,12701,0.913347,1,60
2012-06-29,,,,22884,1.66933,1,0
2012-07-02,237,1.67491,0.370937,15693,1.12851,1,60
2012-07-03,116,2.01739,0.130097,16938,1.21276,1,60
2012-07-04,,,,13830,0.968352,1,0
2012-07-05,141,1.77358,0.300412,11289,0.790436,0.998,60
2012-07-06,102,2.4878,0.253597,13749,0.96268,1,60
2012-07-09,,,,15359,1.0997,1,0
2012-07-10,62,1.15888,0.140417,12561,0.879499,0.998,60
2012-07-11,,,,12844,0.919629,0.998,0
2012-07-12,97,2.93939,0.148019,14406,1.0424,0.998,60
2012-07-13,,,,16869,1.22062,1,0
2012-07-16,263,1.85866,0.193042,10683,0.77301,0.986,60
2012-07-17,103,1.06186,0.373096,17683,1.27952,0.998,60
2012-07-18,67,1.74026,0.0657396,15506,1.122,0.995,60
2012-07-19,,,,11940,0.843906,0.998,0
2012-07-20,158,1.37991,0.169591,14299,1.01064,0.995,60
2012-07-23,151,1.54872,0.147005,15213,1.05995,1,60
2012-07-24,184,1.7277,0.374332,11923,0.824322,0.993,60
2012-07-25,207,1.86486,0.562874,18041,1.2473,1,60
2012-07-26,100,2.15054,0.062645,13617,0.922623,1,60
2012-07-27,84,2.0241,0.0593047,14907,1.01003,0.995,60
2012-07-30,,,,8115,0.542755,0.993,0
2012-07-31,111,1.18085,0.308351,17130,1.1457,0.995,60
2012-08-01,307,1.71508,1.16,13017,0.861796,0.998,60
2012-08-02,91,1.12346,0.504587,11622,0.76944,1,60
2012-08-03,309,1.89571,0.934718,10026,0.665737,0.979,60
2012-08-06,35,0.945946,0.0278261,12613,0.837517,0.998,60
2012-08-07,139,1.2193,0.216216,8132,0.552652,1,60
2012-08-08,,,,9861,0.670155,0.998,0
2012-08-09,,,,11370,0.772707,1,0
2012-08-10,,,,10888,0.73995,0.998,0
2012-08-13,81,1.03185,0.0813559,12108,0.822862,0.998,60
2012-08-14,262,1.76431,0.681818,9027,0.624101,0.998,60
2012-08-15,179,1.7549,0.351421,9569,0.661574,0.99,60
2012-08-16,26,0.753623,0.0534351,10222,0.71221,0.981,60
2012-08-17,88,1.38583,0.0754717,8634,0.612558,0.993,60
2012-08-20,53,1.03922,0.0517647,8969,0.636325,0.898,60
2012-08-21,13,0.351351,0.0304569,9211,0.666498,0.995,60
2012-08-22,16,0.326531,0.0888889,8013,0.585617,0.998,60
2012-08-23,163,1.39316,0.0409583,17197,1.26714,0.998,60
2012-08-24,241,1.74638,0.60989,13545,0.998047,0.995,60
2012-08-27,,,,8185,0.604706,0.998,0
2012-08-28,,,,13171,0.987665,0.998,0
2012-08-29,,,,11042,0.839185,0.99,0
2012-08-30,161,1.16245,0.506596,9967,0.761945,1,60
2012-08-31,264,1.3037,1.53111,10010,0.774139,0.995,60
2012-09-03,112,0.868217,0.0688141,12711,0.995185,0.998,60
2012-09-04,261,1.43014,0.447368,12927,1.0121,0.993,60
2012-09-05,,,,11262,0.881738,1,0
2012-09-06,132,2.77895,0.203704,11903,0.93717,1,60
2012-09-07,217,1.28024,1.33652,15750,1.24251,1,60
2012-09-10,,,,15277,1.20519,1,0
2012-09-11,153,1.8773,0.269615,11126,0.877722,0.857,60
2012-09-12,34,0.871795,0.0494624,12878,1.01594,1,60
2012-09-13,217,2.8366,3.83117,10146,0.80041,0.993,60
2012-09-14,,,,16881,1.33637,1,0
2012-09-17,,,,15602,1.23512,1,0
2012-09-18,,,,18700,1.47744,0.998,0
2012-09-19,65,1.83099,0.153846,12155,0.960338,0.981,60
2012-09-20,101,0.649518,0.217978,13203,1.04894,0.981,60
2012-09-21,36,0.533333,0.0598086,8764,0.696274,0.967,60
2012-09-24,80,1.22137,0.0266489,20804,1.65282,0.99,60
2012-09-25,43,1.28358,0.1,11723,0.926207,1,60
2012-09-26,109,1.39744,0.372204,11333,0.900373,1,60
2012-09-27,,,,12491,1.01076,1,0
2012-09-28,43,0.86,0.0616333,13551,1.09965,1,60
2012-10-01,152,1.97403,0.0783055,11926,0.967784,0.998,60
2012-10-02,127,1.53012,0.128514,11217,0.910249,1,60
2012-10-03,65,2.03125,0.141689,9697,0.799324,0.998,60
2012-10-04,55,1.11111,0.15704,12198,1.01447,0.995,60
2012-10-05,,,,11936,0.992681,0.998,0
2012-10-08,,,,19058,1.59641,1,0
2012-10-09,126,1.37705,0.128472,12337,1.03342,0.988,60
2012-10-10,67,1.55814,0.125714,14392,1.20556,1,60
2012-10-11,,,,16107,1.33957,1,0
2012-10-12,93,1.02762,0.0544218,12877,1.07094,0.99,60
2012-10-15,251,1.83212,0.173077,17919,1.49027,1,60
2012-10-16,,,,14139,1.16548,0.986,0
2012-10-17,119,1.21429,0.206349,15790,1.30157,0.995,60
2012-10-18,,,,11968,0.986523,0.979,0
2012-10-19,150,3.125,0.175926,13772,1.13523,0.998,60
2012-10-22,,,,17731,1.46157,0.998,0
2012-10-23,97,2.62162,0.0406091,12377,1.02024,0.995,60
2012-10-24,72,1.2973,0.0564738,14803,1.22021,0.99,60
2012-10-25,,,,15002,1.23205,0.995,0
2012-10-26,,,,16535,1.35794,0.974,0
