# h0_msfeat v1 | window=1440min fixed (SLOPE_B) | delta=0.5*aw | as-of close(j-1) sequence-position | swings=DC-confirmed extremes | reads day_facts date/status/traded/entry_time/dir + features aw ONLY
date,ms_structure,ms_state,n_swings
2012-11-08,MIXED,MIXED,26
2012-11-09,DOWN,OPPOSED,12
2012-11-12,DOWN,OPPOSED,7
2012-11-13,UP,OPPOSED,7
2012-11-14,UP,OPPOSED,16
2012-11-15,DOWN,ALIGNED,21
2012-11-16,DOWN,ALIGNED,13
2012-11-19,,,
2012-11-20,UP,ALIGNED,5
2012-11-21,,,
2012-11-22,,,
2012-11-23,MIXED,MIXED,12
2012-11-26,,,
2012-11-27,,,
2012-11-28,DOWN,ALIGNED,11
2012-11-29,UP,OPPOSED,18
2012-11-30,MIXED,MIXED,10
2012-12-03,MIXED,MIXED,4
2012-12-04,UNDEF,UNDEF,1
2012-12-05,MIXED,MIXED,6
2012-12-06,DOWN,ALIGNED,8
2012-12-07,UP,ALIGNED,19
2012-12-10,UNDEF,UNDEF,1
2012-12-11,UNDEF,UNDEF,3
2012-12-12,UP,ALIGNED,15
2012-12-13,UNDEF,UNDEF,3
2012-12-14,DOWN,ALIGNED,12
2012-12-17,UNDEF,UNDEF,1
2012-12-18,,,
2012-12-19,UP,OPPOSED,13
2012-12-20,MIXED,MIXED,23
2012-12-21,,,
2012-12-24,,,
2012-12-26,,,
2012-12-27,,,
2012-12-28,,,
2012-12-31,,,
2013-01-02,UNDEF,UNDEF,1
2013-01-03,,,
2013-01-04,UNDEF,UNDEF,1
2013-01-07,MIXED,MIXED,6
2013-01-08,,,
2013-01-09,DOWN,OPPOSED,11
2013-01-10,MIXED,MIXED,10
2013-01-11,MIXED,MIXED,15
2013-01-14,,,
2013-01-15,DOWN,OPPOSED,5
2013-01-16,MIXED,MIXED,11
2013-01-17,UP,ALIGNED,12
2013-01-18,MIXED,MIXED,13
2013-01-21,,,
2013-01-22,DOWN,OPPOSED,7
2013-01-23,,,
2013-01-24,DOWN,ALIGNED,5
2013-01-25,MIXED,MIXED,11
2013-01-28,UP,OPPOSED,5
2013-01-29,,,
2013-01-30,MIXED,MIXED,9
2013-01-31,,,
2013-02-01,,,
2013-02-04,,,
2013-02-05,UP,ALIGNED,6
2013-02-06,,,
