# w7_run_trades.csv per-trade dual-exit record | field=SEARCH
date,cell,pnl_v4,pnl_ts,uw30,d30,armed
2012-04-09,CLEAN|FRESH,-6.07,-1.15,1,-1.1500,0
2012-04-10,CLEAN|SPENT,3.61,-0.25,1,-0.2500,0
2012-04-11,POKED|FRESH,-6.05,-3.44,1,-3.4400,0
2012-04-12,POKED|SPENT,14.35,14.35,0,10.3100,1
2012-04-13,POKED|FRESH,-5.17,-4.26,1,-4.2600,0
2012-04-16,FO,-11.17,-11.17,0,1.2300,0
2012-04-17,FO,-5.25,-1.7,1,-1.3100,0
2012-04-18,CLEAN|SPENT,3.85,-0.65,1,-0.3300,1
2012-04-19,CLEAN|SPENT,-6.33,-6.33,0,1.7700,0
2012-04-20,POKED|SPENT,-4.55,-4.55,0,0.3300,0
2012-04-23,CLEAN|FRESH,12.23,12.23,0,6.3600,1
2012-04-24,FO,-3.89,-3.89,0,0.2200,0
2012-04-25,POKED|FRESH,-2.5,-0.37,1,-0.3700,0
2012-04-26,FO,8.74,-0.56,1,-0.5600,1
2012-04-27,CLEAN|SPENT,3.32,3.32,0,3.8800,1
2012-04-30,FO,-2.44,-1.82,1,-1.8200,0
2012-05-01,CLEAN|SPENT,-3.75,-3.75,0,1.2100,0
2012-05-02,FO,4.83,4.83,0,5.0500,1
2012-05-03,FO,6.12,6.12,0,0.1900,1
2012-05-04,FO,3.25,-1.3,1,-0.8900,1
2012-05-07,CLEAN|SPENT,-7.22,-2.88,1,-2.5000,0
2012-05-08,FO,7.25,-0.94,1,-0.5800,1
2012-05-09,FO,-5.19,-5.19,0,2.4300,0
2012-05-10,CLEAN|FRESH,-7.44,-7.44,0,0.3400,0
2012-05-11,FO,-2.38,-2.38,0,0.7300,0
2012-05-14,POKED|FRESH,13.32,13.32,0,0.3900,1
2012-05-15,FO,-6.84,-6.84,0,1.6900,0
2012-05-16,FO,-12.93,-1.1,1,-0.7100,0
2012-05-18,CLEAN|SPENT,8.04,8.04,0,0.6700,1
2012-05-23,FO,7.84,-3.71,1,-3.3800,1
2012-05-24,FO,-6.7,-6.7,0,1.2900,0
2012-05-28,FO,-4.54,-4.54,0,1.3900,0
2012-05-29,CLEAN|FRESH,-7.78,-1.21,1,-1.2100,0
2012-05-30,CLEAN|SPENT,-0.32,-0.32,0,7.3500,1
2012-05-31,POKED|SPENT,-5.33,-5.33,0,1.3400,0
2012-06-01,POKED|FRESH,-10.9,-1.98,1,-1.6600,0
2012-06-04,CLEAN|FRESH,-12.41,-2.35,1,-2.3500,0
2012-06-06,CLEAN|FRESH,-13.29,-13.29,0,1.3900,0
2012-06-07,POKED|SPENT,-7.67,-2.5,1,-2.5000,0
2012-06-11,CLEAN|FRESH,-5.58,-2.46,1,-2.1300,0
2012-06-12,CLEAN|FRESH,-8.43,-3.38,1,-3.0300,0
2012-06-13,POKED|FRESH,1.71,1.71,0,0.0800,1
2012-06-14,CLEAN|FRESH,-8.81,-8.81,0,1.2900,0
2012-06-15,CLEAN|FRESH,-6.14,-4.97,1,-4.9700,0
2012-06-19,CLEAN|FRESH,-4.88,-0.18,1,-0.1800,0
2012-06-20,POKED|FRESH,11.4,11.4,0,1.9100,1
2012-06-21,CLEAN|FRESH,7.7,7.7,0,1.8500,1
2012-06-22,CLEAN|FRESH,-7.9,-1.09,1,-0.7700,0
2012-06-25,CLEAN|FRESH,-9.49,-3.14,1,-2.7800,0
2012-06-27,FO,1.05,-0.98,1,-0.6200,1
2012-06-28,POKED|FRESH,0.67,0.67,0,0.0500,1
2012-07-02,POKED|FRESH,-2.53,-1.25,1,-1.2500,0
2012-07-03,FO,10.94,-2.28,1,-2.2800,1
2012-07-05,CLEAN|FRESH,-4.89,-1.97,1,-1.9700,0
2012-07-06,CLEAN|FRESH,4.63,-2.16,1,-1.8000,1
2012-07-10,CLEAN|FRESH,-5.61,-1.48,1,-1.1400,0
2012-07-12,FO,4.65,-1.63,1,-1.2700,1
2012-07-16,CLEAN|FRESH,-4.13,-2.46,1,-2.4600,0
2012-07-17,CLEAN|FRESH,-7.91,-1.34,1,-1.3400,0
2012-07-18,FO,1.73,-1.9,1,-1.5600,1
2012-07-20,POKED|FRESH,-5.16,-1.19,1,-1.1900,0
2012-07-23,FO,-0.38,-1.9,1,-1.5800,0
2012-07-24,CLEAN|FRESH,-4.08,-4.08,0,0.1800,0
2012-07-25,CLEAN|FRESH,16.62,-0.73,1,-0.7300,1
2012-07-26,FO,10.03,10.03,0,0.6100,1
2012-07-27,FO,7.12,-0.73,1,-0.7300,1
2012-07-31,CLEAN|SPENT,-4.7,-1.48,1,-1.4800,0
2012-08-01,CLEAN|SPENT,8.74,8.74,0,3.6300,1
2012-08-02,CLEAN|SPENT,-4.73,-4.73,,,0
2012-08-03,POKED|SPENT,-3.74,-3.74,,,0
2012-08-06,FO,2.57,-1.8,1,-1.8000,1
2012-08-07,CLEAN|FRESH,0.97,0.97,0,1.3000,1
2012-08-13,POKED|FRESH,-5.93,-2.62,1,-2.6200,0
2012-08-14,CLEAN|SPENT,9.45,9.45,,,1
2012-08-15,CLEAN|SPENT,2.82,2.82,0,1.5800,1
2012-08-16,FO,-4.28,-0.58,1,-0.2400,0
2012-08-17,FO,-4.27,-4.27,0,0.8600,0
2012-08-20,FO,-4.28,-0.54,1,-0.5400,0
2012-08-21,FO,14.29,-0.95,1,-0.9500,1
2012-08-22,FO,1.06,-0.88,1,-0.8800,1
2012-08-23,FO,3.63,-0.7,1,-0.7000,0
2012-08-24,CLEAN|SPENT,-5.49,-5.49,,,0
2012-08-30,CLEAN|SPENT,-4.15,-4.15,0,0.2200,0
2012-08-31,CLEAN|SPENT,-4.98,-4.98,,,0
2012-09-03,POKED|SPENT,-2.45,-0.72,1,-0.7200,0
2012-09-04,CLEAN|SPENT,-6.87,-6.87,,,0
2012-09-06,POKED|FRESH,5.9,5.9,0,4.2200,1
2012-09-07,CLEAN|SPENT,25.04,25.04,0,13.3600,1
2012-09-11,CLEAN|FRESH,-1.91,-2.32,1,-2.3200,0
2012-09-12,FO,4.77,-0.53,1,-0.5300,1
2012-09-13,CLEAN|SPENT,-4.27,-4.27,,,0
2012-09-19,FO,-7.83,-7.83,0,1.5900,0
2012-09-20,FO,-6.45,-6.45,0,3.4800,0
2012-09-21,POKED|FRESH,4.54,4.54,0,0.3900,1
2012-09-24,FO,-7.56,-0.67,1,-0.3100,0
2012-09-25,FO,-4.24,-4.24,0,1.2400,0
2012-09-26,CLEAN|SPENT,11.37,11.37,0,3.3600,1
2012-09-28,FO,-6.52,-1.96,1,-1.9600,0
2012-10-01,CLEAN|FRESH,11.19,-1.7,1,-1.7000,1
2012-10-02,CLEAN|SPENT,-5.01,-2.1,1,-2.1000,0
2012-10-03,FO,0.72,-0.11,1,-0.1100,1
2012-10-04,POKED|FRESH,4.9,4.9,0,4.3900,1
2012-10-09,CLEAN|FRESH,7.15,7.15,0,1.3500,1
2012-10-10,CLEAN|FRESH,-5.63,-2.6,1,-2.2400,0
